epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1667.02,0.67422,3.53733,1.29914,0.01197,0.96032,0.39095,0.28479,1.07632,4.00488,2.08463,0.000296553,0.000296553,0.000296553
2,2835.51,0.46254,2.28615,1.09618,0.71175,0.52155,0.64606,0.39359,1.42528,3.55978,2.97392,0.000540197,0.000540197,0.000540197
3,4024.78,0.43276,1.88417,1.06698,0.54089,0.63727,0.57396,0.30864,1.76138,3.12312,4.73614,0.000723848,0.000723848,0.000723848
4,5058,0.42124,1.65084,1.04367,0.71777,0.80273,0.79327,0.63285,0.77205,2.31826,1.55897,0.000639027,0.000639027,0.000639027
5,6188.69,0.38232,1.35858,1.02023,0.80428,0.72909,0.8479,0.69234,0.66847,2.02649,1.45879,0.000549036,0.000549036,0.000549036
6,7232.11,0.33458,1.17837,0.97482,0.91652,0.88636,0.96863,0.78969,0.62488,1.41878,1.36559,0.000459045,0.000459045,0.000459045
7,8197.95,0.31533,1.04342,0.95789,0.87544,0.86655,0.94765,0.77082,0.68805,1.35558,1.38979,0.000369054,0.000369054,0.000369054
8,9154.43,0.26571,0.89275,0.92258,0.97065,0.93793,0.99133,0.82704,0.5301,1.13302,1.23795,0.000279063,0.000279063,0.000279063
9,10079,0.24692,0.82544,0.92383,0.98361,0.96498,0.99295,0.85906,0.50807,0.97239,1.2362,0.000189072,0.000189072,0.000189072
10,10995.6,0.2411,0.77317,0.9036,0.98043,0.96508,0.99214,0.87387,0.48196,0.93071,1.19152,9.9081e-05,9.9081e-05,9.9081e-05
